,ssdn_lo,ssdn_hi,ssdn_detection_lo,ssdn_detection_hi,ssdn_notification_lo,ssdn_notification_hi,ssdn_computation_lo,ssdn_computation_hi,ssdn_transference_lo,ssdn_transference_hi,ssdn_installation_lo,ssdn_installation_hi,ssdn_update_lo,ssdn_update_hi,pcsdn_lo,pcsdn_hi,pcsdn_detection_lo,pcsdn_detection_hi,pcsdn_notification_lo,pcsdn_notification_hi,pcsdn_computation_lo,pcsdn_computation_hi,pcsdn_transference_lo,pcsdn_transference_hi,pcsdn_installation_lo,pcsdn_installation_hi,pcsdn_update_lo,pcsdn_update_hi,felix_lo,felix_hi,felix_detection_lo,felix_detection_hi,felix_coordination_lo,felix_coordination_hi
80,453798000,453848000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,12700000,12700000,12850000,12850000,23000000,23050000,10000000,10000000,150000,200000,0,0,150000,150000,12700000,12700000,12850000,12850000,10000010,10250030,10000000,10000000,10,250030
110,453798000,453848000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,12700000,12700000,12850000,12850000,23000000,23050000,10000000,10000000,150000,200000,0,0,150000,150000,12700000,12700000,12850000,12850000,10000010,10250030,10000000,10000000,10,250030
140,452998000,453098000,10000000,10000000,100000,200000,430798000,430798000,100000,100000,12000000,12000000,12100000,12100000,22200000,22300000,10000000,10000000,100000,200000,0,0,100000,100000,12000000,12000000,12100000,12100000,10000010,10100010,10000000,10000000,10,100010
170,453198000,453298000,10000000,10000000,200000,300000,430798000,430798000,200000,200000,12000000,12000000,12200000,12200000,22400000,22500000,10000000,10000000,200000,300000,0,0,200000,200000,12000000,12000000,12200000,12200000,10000010,10100010,10000000,10000000,10,100010
200,453198000,453298000,10000000,10000000,200000,300000,430798000,430798000,200000,200000,12000000,12000000,12200000,12200000,22400000,22500000,10000000,10000000,200000,300000,0,0,200000,200000,12000000,12000000,12200000,12200000,10000010,10100010,10000000,10000000,10,100010
230,453198000,453298000,10000000,10000000,200000,300000,430798000,430798000,200000,200000,12000000,12000000,12200000,12200000,22400000,22500000,10000000,10000000,200000,300000,0,0,200000,200000,12000000,12000000,12200000,12200000,10000010,10100010,10000000,10000000,10,100010
260,453798000,453848000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,12700000,12700000,12850000,12850000,23000000,23050000,10000000,10000000,150000,200000,0,0,150000,150000,12700000,12700000,12850000,12850000,10000010,10250030,10000000,10000000,10,250030
290,453798000,453848000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,12700000,12700000,12850000,12850000,23000000,23050000,10000000,10000000,150000,200000,0,0,150000,150000,12700000,12700000,12850000,12850000,10000010,10250030,10000000,10000000,10,250030
320,453798000,453848000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,12700000,12700000,12850000,12850000,23000000,23050000,10000000,10000000,150000,200000,0,0,150000,150000,12700000,12700000,12850000,12850000,10000010,10250030,10000000,10000000,10,250030
350,453798000,453848000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,12700000,12700000,12850000,12850000,23000000,23050000,10000000,10000000,150000,200000,0,0,150000,150000,12700000,12700000,12850000,12850000,10000010,10250030,10000000,10000000,10,250030
380,453798000,453848000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,12700000,12700000,12850000,12850000,23000000,23050000,10000000,10000000,150000,200000,0,0,150000,150000,12700000,12700000,12850000,12850000,10000010,10250030,10000000,10000000,10,250030
410,453198000,453298000,10000000,10000000,200000,300000,430798000,430798000,200000,200000,12000000,12000000,12200000,12200000,22400000,22500000,10000000,10000000,200000,300000,0,0,200000,200000,12000000,12000000,12200000,12200000,10000010,10100010,10000000,10000000,10,100010
440,453198000,453298000,10000000,10000000,200000,300000,430798000,430798000,200000,200000,12000000,12000000,12200000,12200000,22400000,22500000,10000000,10000000,200000,300000,0,0,200000,200000,12000000,12000000,12200000,12200000,10000010,10100010,10000000,10000000,10,100010
470,453198000,453298000,10000000,10000000,200000,300000,430798000,430798000,200000,200000,12000000,12000000,12200000,12200000,22400000,22500000,10000000,10000000,200000,300000,0,0,200000,200000,12000000,12000000,12200000,12200000,10000010,10100010,10000000,10000000,10,100010
500,453198000,453298000,10000000,10000000,200000,300000,430798000,430798000,200000,200000,12000000,12000000,12200000,12200000,22400000,22500000,10000000,10000000,200000,300000,0,0,200000,200000,12000000,12000000,12200000,12200000,10000010,10100010,10000000,10000000,10,100010
530,453748000,453798000,10000000,10000000,100000,150000,430798000,430798000,150000,150000,12700000,12700000,12850000,12850000,22950000,23000000,10000000,10000000,100000,150000,0,0,150000,150000,12700000,12700000,12850000,12850000,10000010,10250030,10000000,10000000,10,250030
560,453798000,453848000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,12700000,12700000,12850000,12850000,23000000,23050000,10000000,10000000,150000,200000,0,0,150000,150000,12700000,12700000,12850000,12850000,10000010,10250030,10000000,10000000,10,250030
590,453798000,453848000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,12700000,12700000,12850000,12850000,23000000,23050000,10000000,10000000,150000,200000,0,0,150000,150000,12700000,12700000,12850000,12850000,10000010,10250030,10000000,10000000,10,250030
620,453798000,453848000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,12700000,12700000,12850000,12850000,23000000,23050000,10000000,10000000,150000,200000,0,0,150000,150000,12700000,12700000,12850000,12850000,10000010,10250030,10000000,10000000,10,250030
650,452998000,453098000,10000000,10000000,100000,200000,430798000,430798000,100000,100000,12000000,12000000,12100000,12100000,22200000,22300000,10000000,10000000,100000,200000,0,0,100000,100000,12000000,12000000,12100000,12100000,10000010,10100010,10000000,10000000,10,100010
680,453198000,453298000,10000000,10000000,200000,300000,430798000,430798000,200000,200000,12000000,12000000,12200000,12200000,22400000,22500000,10000000,10000000,200000,300000,0,0,200000,200000,12000000,12000000,12200000,12200000,10000010,10100010,10000000,10000000,10,100010
710,453198000,453298000,10000000,10000000,200000,300000,430798000,430798000,200000,200000,12000000,12000000,12200000,12200000,22400000,22500000,10000000,10000000,200000,300000,0,0,200000,200000,12000000,12000000,12200000,12200000,10000010,10100010,10000000,10000000,10,100010
740,453198000,453298000,10000000,10000000,200000,300000,430798000,430798000,200000,200000,12000000,12000000,12200000,12200000,22400000,22500000,10000000,10000000,200000,300000,0,0,200000,200000,12000000,12000000,12200000,12200000,10000010,10100010,10000000,10000000,10,100010
770,453798000,453848000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,12700000,12700000,12850000,12850000,23000000,23050000,10000000,10000000,150000,200000,0,0,150000,150000,12700000,12700000,12850000,12850000,10000010,10250030,10000000,10000000,10,250030
800,453798000,453848000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,12700000,12700000,12850000,12850000,23000000,23050000,10000000,10000000,150000,200000,0,0,150000,150000,12700000,12700000,12850000,12850000,10000010,10250030,10000000,10000000,10,250030
830,453798000,453848000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,12700000,12700000,12850000,12850000,23000000,23050000,10000000,10000000,150000,200000,0,0,150000,150000,12700000,12700000,12850000,12850000,10000010,10250030,10000000,10000000,10,250030
860,453798000,453848000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,12700000,12700000,12850000,12850000,23000000,23050000,10000000,10000000,150000,200000,0,0,150000,150000,12700000,12700000,12850000,12850000,10000010,10250030,10000000,10000000,10,250030
890,453798000,453848000,10000000,10000000,150000,200000,430798000,430798000,150000,150000,12700000,12700000,12850000,12850000,23000000,23050000,10000000,10000000,150000,200000,0,0,150000,150000,12700000,12700000,12850000,12850000,10000010,10250030,10000000,10000000,10,250030
920,453198000,453298000,10000000,10000000,200000,300000,430798000,430798000,200000,200000,12000000,12000000,12200000,12200000,22400000,22500000,10000000,10000000,200000,300000,0,0,200000,200000,12000000,12000000,12200000,12200000,10000010,10100010,10000000,10000000,10,100010
950,453198000,453298000,10000000,10000000,200000,300000,430798000,430798000,200000,200000,12000000,12000000,12200000,12200000,22400000,22500000,10000000,10000000,200000,300000,0,0,200000,200000,12000000,12000000,12200000,12200000,10000010,10100010,10000000,10000000,10,100010
